OTUId	sample_S2-D_Psoil-01	sample_S2-D_Psoil-02	sample_S2-D_Psoil-05	sample_S2-D_Psoil-06	sample_S2-D_Psoil-07	sample_S2-P_PO4-01	sample_S2-P_PO4-02	sample_S2-D_Pmax-01	sample_S2-D_Pmax-03	sample_S2-D_Pmax-06	sample_S2-D_Pmax-07	sample_S2-D_Pmax-09	sample_S2-P_PO4-03	sample_S2-P_PO4-04	sample_S2-D_Ind-02	sample_S2-D_Ind-06	sample_S2-D_Ind-08	sample_S2-D_PO4-01	sample_S2-D_PO4-02	sample_S2-D_PO4-05	sample_S2-D_PO4-06	sample_S2-D_PO4-08	sample_S2-D_PO4-09	sample_S2-D_PO4-10	sample_S2-P_PO4-07	sample_S2-P_Psoil-05	sample_S2-P_PO4-09	sample_S2-P_Ind-05	sample_S2-P_Ind-06	sample_S2-P_Ind-09	sample_S2-P_Ind-10	sample_S2-P_PO4-10	sample_S2-P_Pmax-01	sample_S2-P_Pmax-02	sample_S2-P_Pmax-03	sample_S2-P_Pmax-08	sample_S2-P_Pmax-09	sample_S2-P_Pmax-10	sample_S2-P_Ind-01	sample_S2-P_Ind-04	sample_S2-P_Psoil-06	sample_S2-P_Psoil-07	sample_S2-P_Psoil-08	sample_S2-P_Psoil-09	sample_S2-P_Psoil-10	sample_S2-P_Pmax-04	sample_S2-P_Pmax-05	sample_S2-P_Pmax-06	sample_S2-P_Pmax-07	sample_S2-P_Ind-02	sample_S2-P_Ind-03	sample_S2-P_Ind-07	sample_S2-P_Ind-08	sample_S2-P_Psoil-01	sample_S2-P_Psoil-02	sample_S2-P_Psoil-03	sample_S2-P_Psoil-04	sample_S2-D_Pmax-10	sample_S2-D_Ind-01	sample_S2-D_Ind-03	sample_S2-D_Ind-04	sample_S2-D_Ind-05	sample_S2-D_Ind-07	sample_S2-D_Ind-09	sample_S2-D_Ind-10	sample_S2-P_PO4-05	sample_S2-P_PO4-06	sample_S2-D_PO4-03	sample_S2-D_PO4-04	sample_S2-D_PO4-07	sample_S2-P_PO4-08	sample_S2-D_Psoil-03	sample_S2-D_Psoil-04	sample_S2-D_Psoil-08	sample_S2-D_Psoil-09	sample_S2-D_Psoil-10	sample_S2-D_Pmax-02	sample_S2-D_Pmax-04	sample_S2-D_Pmax-05	sample_S2-D_Pmax-08
OTU_5706;size=39;	16	3	5	0	0	0	2	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	10	0	3	0	0	0	0	0	0	0	5	2	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	3	0	1	0	3	0	0	0	0	3	0	5	0	0	0	0	0	0	0
OTU_14102;size=158;	260	102	171	5	8	119	268	33	90	123	20	16	122	79	27	12	36	400	102	96	88	104	118	300	22	6	84	107	158	255	245	95	122	170	120	114	213	230	340	157	0	17	61	26	5	58	43	62	193	70	159	96	179	11	14	85	28	41	76	21	5	8	27	75	28	74	76	112	79	101	174	134	287	0	2	217	126	55	39	25
OTU_290;size=1229;	337	34	2	0	0	21	74	8	16	15	3	5	20	17	9	20	14	14	11	61	22	13	27	41	13	4	17	2	1	3	2	37	10	8	13	4	9	27	11	0	0	9	11	10	1	1	2	3	17	0	5	0	0	1	0	12	7	1	35	13	3	5	14	29	17	24	34	13	15	30	44	15	10	0	0	438	23	13	5	5
OTU_3531;size=27;	8	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	18	0	1	0	0
OTU_71;size=2885;	266	23	43	12	3	61	68	85	33	67	9	22	33	20	46	72	89	87	28	37	78	23	44	24	12	14	24	11	15	7	17	81	41	22	9	8	47	39	26	15	0	27	0	1	1	10	7	26	16	5	17	11	24	1	1	14	10	49	177	74	34	51	44	103	117	46	39	45	65	92	91	18	86	2	3	609	41	19	15	25
OTU_2312;size=50;	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0	0	0	0	1	5	1	15	2	0	0	0	1	6	0	0	0	0	1	0	0	0	10	0	2	1	3	8	0	0	0	0
OTU_135;size=1693;	74	0	0	7	8	89	270	0	1	0	0	2	103	57	2	0	1	3	2	7	0	0	1	2	25	15	26	15	18	15	22	68	168	133	128	55	73	119	36	21	0	30	12	10	10	47	49	130	110	7	19	17	30	5	10	21	30	0	4	4	5	0	0	1	1	26	81	2	1	4	87	6	0	3	12	30	0	0	1	0
OTU_48;size=6523;	421	39	112	4	7	228	371	33	18	19	11	12	147	102	51	70	68	165	22	117	219	59	128	139	67	35	112	28	38	64	51	185	141	143	89	147	157	192	80	44	0	112	42	58	8	22	84	45	176	19	46	35	48	18	6	43	15	9	114	67	36	40	42	116	88	140	229	39	120	149	319	70	209	3	1	580	29	11	9	17
OTU_2316;size=128;	2	0	4	0	0	7	24	0	3	1	0	0	7	14	0	0	0	0	6	0	0	0	0	4	0	5	3	1	0	1	2	4	32	7	29	1	5	7	0	0	0	7	2	2	0	6	6	17	1	0	0	0	0	0	0	0	0	3	4	0	1	0	0	0	0	3	4	0	0	0	12	5	2	0	0	0	2	1	1	0
OTU_167;size=1489;	179	44	37	63	92	15	21	10	21	32	1	4	9	9	21	16	30	86	33	29	39	33	32	81	0	13	5	2	5	3	8	7	15	35	15	25	59	53	5	4	0	11	2	0	41	0	7	16	38	5	1	5	5	4	24	15	0	26	86	24	13	12	25	64	50	11	12	22	23	30	18	57	94	0	1	201	7	15	21	13
